"","SG2cN","SG3sM","SG3cM","SG1sM","SG1cN","SG1sN","GF2cM","SG3sN","T1cM","GF1cM","LG3cN","T2cN","T3cN","LG3cM","GF3cN","T1sM","T3cM","GF1sN","T1sN","GF3sM","SG3cN","LG2sN","T2cM","GF2cN","SG2cM","LG1cM","LG2cM","SG2sN","LG2sM","LG1sN","GF2sN","GF2sM","GF1sM","GF1cN","T2sN","GF3cM","SG2sM","LG3sN","LG3sM","LG1sM","GF3sN","T2sM","T3sN","T1cN","SG1cM","LG1cN","T3sM","LG2cN"
"Fibrobacteres","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.112739571589628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OP11","0","0","0","0","0","0","0","0.143061516452074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tenericutes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WYO","0","0","0","0","0","0.204081632653061","0","0","0","0.131578947368421","0","0","0","0","0","0","0","0","0","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WS2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0687285223367698","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acidobacteria","7.65306122448979","16.4790174002047","18.3898305084746","19.9196326061998","10.8433734939759","13.8775510204082","11.6842105263158","19.31330472103","5.11945392491468","10.7894736842105","1.00671140939597","2.92397660818713","6.75496688741722","16.3716814159292","12.8772635814889","7.26256983240223","6.18860510805501","14.4203581526861","8.58676207513417","11.8367346938776","6.49474689589303","15.2334152334152","2.92177191328935","8.54885057471264","19.8789101917255","6.21592148309706","26.6141732283465","14.5869947275923","13.3152173913043","20.5949656750572","14.9189189189189","18.2638105975197","18.1372549019608","16.426116838488","4.91967871485944","3.63881401617251","18.0936995153473","21.5980024968789","17.162471395881","21.9150025601638","15.8847736625514","8.21744627054361","11.4978902953586","7.10955710955711","5.83362098722817","5.66343042071197","5.08474576271186","6.75067506750675"
"AD3","0","0","0","0.172215843857635","0","0.204081632653061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.368550368550369","0","0","0.403632694248234","0","0","0","0","1.1441647597254","0","0","0","0","0","0","0.807754442649434","0.249687890137328","0.22883295194508","0.0512032770097286","0","0","0","0","0","0","0","0"
"Proteobacteria","32.3979591836735","40.8393039918117","50","31.5154994259472","46.5498357064622","37.5510204081633","51.3684210526316","39.4849785407725","58.3617747440273","50.1315789473684","4.07478427612656","48.635477582846","49.8013245033112","41.3716814159292","53.5211267605634","57.4022346368715","58.1532416502947","41.1875589066918","41.2343470483005","56","44.1260744985673","30.0982800982801","64.6559849198869","48.3477011494253","36.5287588294652","21.1559432933479","28.3464566929134","37.7855887521968","33.4239130434783","27.4599542334096","48.5405405405405","45.5467869222097","41.6666666666667","44.7422680412371","47.0883534136546","66.9811320754717","34.8949919224556","31.0029130253849","40.045766590389","42.5499231950845","49.3827160493827","41.5929203539823","49.789029535865","55.9440559440559","22.0227821884708","19.57928802589","54.2372881355932","19.98199819982"
"Planctomycetes","0","0.102354145342886","0","0.0574052812858783","0.657174151150055","0","0","0.143061516452074","0","0","0.0479386385426654","0","0","0","0","0","0","0.282752120640905","0","0","0.0955109837631328","0.245700245700246","0","0","0.100908173562059","0","0","0.175746924428822","0","0","0","0.112739571589628","0","0.13745704467354","0","0","0","0.166458593424886","0.22883295194508","0","0","0","0","0","0","0","0","0"
"Bacteroidetes","2.72108843537415","0.102354145342886","6.35593220338983","0.574052812858783","4.60021905805038","2.04081632653061","13.6842105263158","0.715307582260372","10.0113765642776","11.3157894736842","1.00671140939597","8.28460038986355","4.37086092715232","8.1858407079646","4.02414486921529","5.72625698324022","12.0825147347741","6.50329877474081","7.06618962432916","4","2.57879656160458","0.737100737100737","8.76531573986805","3.66379310344828","3.83451059535822","3.59869138495093","7.40157480314961","2.10896309314587","0.543478260869565","0.45766590389016","3.02702702702703","5.97519729425028","3.43137254901961","6.46048109965636","4.51807228915663","10.1078167115903","0.484652665589661","0.749063670411985","4.5766590389016","1.53609831029186","3.95061728395062","3.4134007585335","9.59915611814346","13.0536130536131","4.41836382464619","2.42718446601942","16.9491525423729","2.7002700270027"
"Firmicutes","3.40136054421769","0.716479017400205","0.423728813559322","7.46268656716418","0.219058050383352","3.46938775510204","0","0.429184549356223","3.0716723549488","0.789473684210526","0","0.584795321637427","1.45695364238411","0.221238938053097","0.201207243460765","8.44972067039106","2.75049115913556","1.60226201696513","3.66726296958855","1.71428571428571","0.955109837631328","5.03685503685504","0.377002827521206","0.0718390804597701","2.21997981836529","1.19956379498364","0.62992125984252","19.6836555360281","0.815217391304348","4.80549199084668","0.432432432432432","0.789177001127396","0.980392156862745","0.343642611683849","4.31726907630522","0","1.13085621970921","2.20557636287973","0.45766590389016","1.0752688172043","0.987654320987654","6.95322376738306","8.75527426160338","1.51515151515151","0.172592336900242","0.647249190938511","0","0.81008100810081"
"Fusobacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.126422250316056","0","0","0","0","0","0"
"Armatimonadetes","0","0","0","0.172215843857635","0.438116100766703","0","0","0","0.113765642775882","0.263157894736842","0","0.0974658869395711","0.132450331125828","0","0","0","0.196463654223969","0.56550424128181","0","0","0.286532951289398","0","0","0.14367816091954","0","0","0","0.175746924428822","0.271739130434783","0.22883295194508","0","0","0.326797385620915","0.0687285223367698","0","0","0","0.208073241781107","0","0","0","0","0","0.34965034965035","0","0","0","0.27002700270027"
"OP9","0","0","0","0","0.109529025191676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09000900090009"
"Gemmatimonadetes","0.510204081632653","0.511770726714432","1.69491525423729","0.803673938002296","0.547645125958379","0.816326530612245","1.15789473684211","0.715307582260372","1.70648464163823","2.23684210526316","0","0.974658869395711","3.3112582781457","0.884955752212389","2.61569416498994","1.39664804469274","2.16110019646365","2.63901979264844","1.78890876565295","2.69387755102041","1.71919770773639","1.22850122850123","1.60226201696513","2.44252873563218","0.605449041372351","1.19956379498364","0.62992125984252","0.70298769771529","0.543478260869565","1.83066361556064","2.91891891891892","2.59301014656144","4.2483660130719","2.47422680412371","0.803212851405622","1.07816711590297","0.807754442649434","0.915522263836871","0.68649885583524","1.12647209421403","2.05761316872428","1.01137800252844","1.89873417721519","1.28205128205128","0.345184673800483","0.485436893203884","0","0.27002700270027"
"Cyanobacteria","37.5","0.102354145342886","1.52542372881356","0","4.49069003285871","0.612244897959184","0","0","0.113765642775882","0.657894736842105","89.5973154362416","0","0","0.663716814159292","0.201207243460765","0.209497206703911","0.196463654223969","0.0942507068803016","0","0.0816326530612245","14.422158548233","0","0.0942507068803016","0.0718390804597701","0.403632694248234","49.4002181025082","21.8897637795276","0.351493848857645","0.815217391304348","0","0.108108108108108","0","0.326797385620915","0.274914089347079","0","0","0","0.957136912193092","0.45766590389016","0.204813108038915","0.0823045267489712","0.126422250316056","0.105485232067511","0.34965034965035","56.6448049706593","54.8543689320388","0","52.7452745274528"
"WPS-2","0.340136054421769","0.204708290685773","0.0847457627118644","0.746268656716418","0.219058050383352","0.408163265306122","0","0.429184549356223","0","0.263157894736842","0.0479386385426654","0","0","0.663716814159292","0","0","0","0","0","0","0.0955109837631328","0","0","0","0.908173562058527","0","1.5748031496063","0.878734622144112","1.35869565217391","2.74599542334096","0","0","0","0","0","0","1.45395799676898","1.1652101539742","0.45766590389016","0.716845878136201","0","0","0","0","0.483258543320677","0.485436893203884","0","0.18001800180018"
"Elusimicrobia","0.170068027210884","0","0","0","0","0","0.421052631578947","0.143061516452074","0","0.394736842105263","0","0","0","0","0","0.0698324022346369","0.196463654223969","0.0942507068803016","0.0894454382826476","0.653061224489796","0","0.122850122850123","0","0.0718390804597701","0.100908173562059","0","0.31496062992126","0","0","1.1441647597254","0.108108108108108","0.676437429537768","0","0.13745704467354","0","0","0","0.0416146483562214","0","0.256016385048643","0.164609053497942","0","0.105485232067511","0.116550116550117","0","0","0","0"
"TM7","0.255102040816327","0","0","0.287026406429392","0.109529025191676","0","0.631578947368421","0.286123032904149","0.113765642775882","0","0","0","0","0","0","0","0.196463654223969","0.282752120640905","0.0894454382826476","0","0.0955109837631328","0.368550368550369","0","0","0","0","0","0","0","0","0","0","0.326797385620915","0.0687285223367698","0","0.134770889487871","0.323101777059774","0.166458593424886","0","0.153609831029186","0","0","0.210970464135021","0.116550116550117","0","0","0","0.27002700270027"
"Nitrospirae","0","0.102354145342886","0","0.172215843857635","0","0.204081632653061","0.105263157894737","0","0","0.526315789473684","0","0","0","0","0","0","0","0","0","0.326530612244898","0","0.122850122850123","0","0","0.302724520686176","0","0","0.175746924428822","0.271739130434783","0","0.432432432432432","0.789177001127396","0.490196078431373","0.0687285223367698","0","0","0.161550888529887","0.749063670411985","0.22883295194508","0.0512032770097286","0.329218106995885","0","0.105485232067511","0","0.0345184673800483","0","0","0"
"BRC1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chloroflexi","6.20748299319728","15.4554759467758","6.10169491525424","16.1882893226177","11.7196056955093","13.0612244897959","4.52631578947368","12.0171673819743","3.52673492605233","7.5","1.58197507190796","2.04678362573099","1.85430463576159","9.29203539823009","3.82293762575453","2.51396648044693","5.0098231827112","3.01602262016965","3.30948121645796","9.06122448979592","3.24737344794651","16.3390663390663","1.79076343072573","2.51436781609195","14.6316851664985","4.79825517993457","3.46456692913386","7.55711775043937","16.5760869565217","19.4508009153318","4","5.86245772266065","7.35294117647059","2.61168384879725","1.30522088353414","5.12129380053908","13.0856219709208","17.0620058260508","6.8649885583524","9.98463901689708","5.02057613168724","3.28697850821745","3.16455696202532","3.37995337995338","2.65792198826372","5.98705501618123","6.77966101694915","6.3006300630063"
"OD1","0","0","0","0.0574052812858783","0.109529025191676","0","0.105263157894737","0","0","0.131578947368421","0","0","0","0","0.201207243460765","0","0","0.0942507068803016","0","0","0","0.122850122850123","0","0","0","0","0","0","0","0","0.216216216216216","0.56369785794814","0.163398692810457","0","0","0","0","0","0","0","0.246913580246914","0","0","0.233100233100233","0","0","0","0"
"Verrucomicrobia","0","0","0","0","0","0","0.210526315789474","0","0","0","0","0.194931773879142","0.132450331125828","0","0.402414486921529","0","0.0982318271119843","0.659754948162111","0.447227191413238","0.0816326530612245","0","0","0.188501413760603","0","0","0","0","0","0","0","0","0","0","0.0687285223367698","0.401606425702811","0","0.161550888529887","0","0","0","0.246913580246914","0.126422250316056","0.105485232067511","0.233100233100233","0","0","1.69491525423729","0"
"Chlorobi","0","0","0","0","0","0","0","0","0.227531285551763","0.131578947368421","0","0","0","0","0","0.139664804469274","0.392927308447937","0.0942507068803016","0.0894454382826476","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0.108108108108108","0","0","0","0","0","0","0","0","0","0.740740740740741","0","0","0.466200466200466","0","0","1.69491525423729","0"
"Actinobacteria","8.75850340136054","25.3838280450358","15.2542372881356","21.8714121699196","18.9485213581599","27.3469387755102","15.3684210526316","26.1802575107296","17.5199089874858","14.0789473684211","2.6366251198466","36.1598440545809","32.1854304635762","22.3451327433628","22.1327967806841","16.8296089385475","12.1807465618861","28.4637134778511","33.4525939177102","13.1428571428571","25.6924546322827","29.8525798525799","19.6041470311027","34.051724137931","20.0807265388496","12.2137404580153","8.97637795275591","15.817223198594","32.0652173913044","20.137299771167","25.1891891891892","18.7147688838782","22.3856209150327","26.0481099656357","36.6465863453815","12.8032345013477","28.59450726979","22.7215980024969","28.604118993135","20.1228878648233","20.6584362139918","35.1453855878635","14.662447257384","15.8508158508159","7.2833966171902","9.8705501618123","13.5593220338983","9.63096309630963"
"TM6","0","0","0","0","0.438116100766703","0.204081632653061","0","0","0","0","0","0","0","0","0","0","0","0","0.178890876565295","0.0816326530612245","0","0.122850122850123","0","0.0718390804597701","0","0","0","0","0","0","0","0","0.163398692810457","0","0","0","0","0.0416146483562214","0","0.256016385048643","0.246913580246914","0","0","0","0","0","0","0"
"Thermi","0.0850340136054422","0","0.169491525423729","0","0","0","0.736842105263158","0","0.113765642775882","0.657894736842105","0","0.0974658869395711","0","0","0","0","0.196463654223969","0","0","0","0.191021967526266","0","0","0","0","0.218102508178844","0.15748031496063","0","0","0","0","0","0","0","0","0.134770889487871","0","0","0","0","0","0","0","0","0.103555402140145","0","0","0"
